,union,mean,median,std
7,UWU,3.984866513507659,4.0,1.5610252390040729
0,AWU,4.102210941518324,4.0,1.470107591325725
4,RTBU,4.146327630248945,4.0,1.5876301255712353
5,TWU,4.146327630248945,4.0,1.5876301255712353
6,SDA,4.194842398849056,4.0,1.6006373610029783
1,CFMEU,4.202496857962734,4.0,1.4422707004824988
2,ETU,4.319296758401294,4.0,1.5093658800429521
3,AMWU,4.418830596830422,4.0,1.5746358056679954
9,PA,4.849566930311446,5.0,1.6803318725975924
13,MEAA,4.905438829306292,5.0,1.7027951988144554
8,ASU,4.926474142716121,5.0,1.6819624145739172
10,CPSU,5.186245581106245,5.0,1.6521653730691541
11,ANMF,5.3207025979993485,6.0,1.6013123717224227
12,FSU,5.435168436545599,6.0,1.6310067361886427
