Unnamed: 0,union,mean,median,std,mean_level,median_level,average_readability_score,average_read_grade
7,UWU,3.984866513507659,4.0,1.5610252390040729,Certificate III & IV Level,Certificate III & IV Level,61.294250000000005,8th & 9th Grade
0,AWU,4.102210941518324,4.0,1.470107591325725,Certificate III & IV Level,Certificate III & IV Level,60.17925,8th & 9th Grade
4,RTBU,4.146327630248945,4.0,1.5876301255712353,Certificate III & IV Level,Certificate III & IV Level,48.285583333333335,College
5,TWU,4.146327630248945,4.0,1.5876301255712353,Certificate III & IV Level,Certificate III & IV Level,58.07750000000001,10th-12th Grade
6,SDA,4.194842398849056,4.0,1.6006373610029785,Certificate III & IV Level,Certificate III & IV Level,64.76558333333334,8th & 9th Grade
1,CFMEU,4.202496857962734,4.0,1.4422707004824988,Certificate III & IV Level,Certificate III & IV Level,52.528916666666674,10th-12th Grade
2,ETU,4.319296758401294,4.0,1.509365880042952,Certificate III & IV Level,Certificate III & IV Level,36.01666666666667,College
3,AMWU,4.418830596830422,4.0,1.5746358056679954,Certificate III & IV Level,Certificate III & IV Level,53.52336363636364,10th-12th Grade
9,PA,4.849566930311446,5.0,1.6803318725975924,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level,59.025499999999994,10th-12th Grade
13,MEAA,4.905438829306292,5.0,1.7027951988144554,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level,36.92008333333334,College
8,ASU,4.926474142716121,5.0,1.6819624145739172,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level,76.30125,7th Grade
10,CPSU,5.186245581106245,5.0,1.652165373069154,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level,61.11958333333333,8th & 9th Grade
11,ANMF,5.3207025979993485,6.0,1.6013123717224227,Advanced Diploma and Diploma Level,Bachelor Degree Level,32.65425,College
12,FSU,5.435168436545599,6.0,1.631006736188643,Advanced Diploma and Diploma Level,Bachelor Degree Level,67.30433333333333,8th & 9th Grade
