,union,mean,median,std,mean_level,median_level
7,UWU,3.984866513507659,4.0,1.5610252390040729,Certificate III & IV Level,Certificate III & IV Level
0,AWU,4.102210941518324,4.0,1.470107591325725,Certificate III & IV Level,Certificate III & IV Level
4,RTBU,4.146327630248945,4.0,1.5876301255712353,Certificate III & IV Level,Certificate III & IV Level
5,TWU,4.146327630248945,4.0,1.5876301255712353,Certificate III & IV Level,Certificate III & IV Level
6,SDA,4.194842398849056,4.0,1.6006373610029783,Certificate III & IV Level,Certificate III & IV Level
1,CFMEU,4.202496857962734,4.0,1.4422707004824988,Certificate III & IV Level,Certificate III & IV Level
2,ETU,4.319296758401294,4.0,1.5093658800429521,Certificate III & IV Level,Certificate III & IV Level
3,AMWU,4.418830596830422,4.0,1.5746358056679954,Certificate III & IV Level,Certificate III & IV Level
9,PA,4.849566930311446,5.0,1.6803318725975924,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level
13,MEAA,4.905438829306292,5.0,1.7027951988144554,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level
8,ASU,4.926474142716121,5.0,1.6819624145739172,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level
10,CPSU,5.186245581106245,5.0,1.6521653730691541,Advanced Diploma and Diploma Level,Advanced Diploma and Diploma Level
11,ANMF,5.3207025979993485,6.0,1.6013123717224227,Advanced Diploma and Diploma Level,Bachelor Degree Level
12,FSU,5.435168436545599,6.0,1.6310067361886427,Advanced Diploma and Diploma Level,Bachelor Degree Level
